ORF,Name,Allele,Strain ID,Plate,Row,Column
YBR029C,CDS1,cds1-5001,TSA1063,3,9,13
YLR229C,CDC42,cdc42-1,TSA26,3,9,14
YGR179C,OKP1,okp1-5,TSA227,3,9,15
YLR066W,SPC3,spc3-4,TSA623,3,9,16
YOR030W,DFG16,,DMA4462,3,9,17
YPL101W,ELP4,,DMA4843,3,9,18
YLR119W,SRN2,,DMA3215,3,9,19
YDR052C,DBF4,dbf4-ts,TSA95,3,9,20
YGR216C,GPI1,gpi1-1,TSA548,3,9,21
YNL061W,NOP2,nop2-10,TSA941,3,9,22
YFL031W,HAC1,,DMA1495,3,9,23
YMR271C,URA10,,DMA3865,3,9,24
YMR271C,URA10,,DMA3865,3,10,1
YEL034W,HYP2,hyp2-1,TSA736,3,10,2
YDL033C,SLM3,,DMA630,3,10,3
YHR164C,DNA2,dna2-2,TSA352,3,10,4
YGL142C,GPI10,gpi10-5001,TSA1133,3,10,5
YLR218C,COA4,,DMA3287,3,10,6
YMR198W,CIK1,,DMA3800,3,10,7
YCL032W,STE50,,DMA498,3,10,8
YNR053C,NOG2,nog2-1,TSA479,3,10,9
YJR064W,CCT5,cct5-5001,TSA1254,3,10,10
YER147C,SCC4,scc4-5001,TSA1259,3,10,11
YIL106W,MOB1,mob1-5001,TSA1258,3,10,12
YOR326W,MYO2,myo2-14,TSA269,3,10,13
YDR064W,RPS13,rps13-5001,TSA1111,3,10,14
BLANK,BLANK,,,3,10,15
YOR249C,APC5,apc5-ca-paps,TSA745,3,10,16
YBR055C,PRP6,prp6-1,TSA455,3,10,17
YOR048C,RAT1,rat1-1,TSA914,3,10,18
YFL039C,ACT1,act1-125,TSA140,3,10,19
YGR122W,,,DMA5189,3,10,20
YFL022C,FRS2,frs2-5001,TSA1083,3,10,21
YJL074C,SMC3,smc3-42,TSA71,3,10,22
YNL064C,YDJ1,,DMA3979,3,10,23
YMR271C,URA10,,DMA3865,3,10,24
YMR271C,URA10,,DMA3865,3,11,1
YLR116W,MSL5,msl5-9,TSA855,3,11,2
YIR008C,PRI1,pri1-m4,TSA340,3,11,3
YHR019C,DED81,ded81-5001,TSA1117,3,11,4
YFL034C-B,MOB2,mob2-36,TSA814,3,11,5
YEL034W,HYP2,hyp2-3,TSA737,3,11,6
YPR168W,NUT2,nut2-ts,TSA818,3,11,7
YNL038W,GPI15,gpi15-5001,TSA1157,3,11,8
YDR118W,APC4,apc4-5001,TSA1088,3,11,9
YOR089C,VPS21,,DMA4520,3,11,10
YDR496C,PUF6,,DMA1201,3,11,11
YGL093W,SPC105,spc105-15,TSA446,3,11,12
YNL102W,POL1,pol1-1,TSA362,3,11,13
YOR168W,GLN4,gln4-5001,TSA1198,3,11,14
YDR437W,GPI19,gpi19-2xh,TSA1012,3,11,15
YLR196W,PWP1,pwp1-5001,TSA1142,3,11,16
YHR030C,SLT2,,DMA2112,3,11,17
YPL007C,TFC8,tfc8-5001,TSA1201,3,11,18
YJR045C,SSC1,ssc1-2,TSA328,3,11,19
YGL001C,ERG26,erg26-1,TSA742,3,11,20
YKL165C,MCD4,mcd4-174,TSA795,3,11,21
YLR195C,NMT1,nmt1-181,TSA690,3,11,22
YOR236W,DFR1,dfr1-td,TSA884,3,11,23
YMR271C,URA10,,DMA3865,3,11,24
YMR271C,URA10,,DMA3865,3,12,1
YBR198C,TAF5,taf5-20,TSA513,3,12,2
YDR212W,TCP1,tcp1-2,TSA448,3,12,3
YLR459W,GAB1,gab1-3,TSA202,3,12,4
YJL050W,MTR4,mtr4-1,TSA431,3,12,5
YGL116W,CDC20,cdc20-2,TSA417,3,12,6
YMR112C,MED11,med11-ts,TSA799,3,12,7
YPL228W,CET1,cet1-15,TSA420,3,12,8
YGL137W,SEC27,sec27-1,TSA546,3,12,9
YNL102W,POL1,pol1-13,TSA346,3,12,10
YML010W,SPT5,spt5-194,TSA833,3,12,11
YKL052C,ASK1,ask1-2,TSA1003,3,12,12
YDR392W,SPT3,,DMA1125,3,12,13
YDR145W,TAF12,taf12-l446a,TSA806,3,12,14
YEL002C,WBP1,wbp1-1,TSA590,3,12,15
YKL113C,RAD27,,DMA2839,3,12,16
YOL077C,BRX1,brx1-5001,TSA1171,3,12,17
YLR316C,TAD3,tad3-5001,TSA1150,3,12,18
YKL196C,YKT6,ykt6-5001,TSA1089,3,12,19
YDR238C,SEC26,sec26-f856aw860a,TSA721,3,12,20
YAR007C,RFA1,rfa1-m2,TSA273,3,12,21
YFL034C-B,MOB2,mob2-20,TSA940,3,12,22
YLR440C,SEC39,sec39-5001,TSA1214,3,12,23
YMR271C,URA10,,DMA3865,3,12,24
YMR271C,URA10,,DMA3865,3,13,1
YBR221C,PDB1,,DMA364,3,13,2
YOR341W,RPA190,rpa190-g728d,TSA532,3,13,3
YBR175W,SWD3,,DMA332,3,13,4
YFL039C,ACT1,act1-4,TSA138,3,13,5
YIR006C,PAN1,pan1-4,TSA353,3,13,6
YGL130W,CEG1,ceg1-ts,TSA355,3,13,7
YDR328C,SKP1,skp1-3,TSA809,3,13,8
YGL011C,SCL1,scl1-5001,TSA1084,3,13,9
YIL040W,APQ12,,DMA2275,3,13,10
YLR274W,MCM5,cdc46-1,TSA403,3,13,11
YHR200W,RPN10,,DMA2222,3,13,12
YDR126W,SWF1,,DMA917,3,13,13
YOL139C,CDC33,cdc33-e72g,TSA306,3,13,14
YMR028W,TAP42,tap42-11,TSA697,3,13,15
YJR112W,NNF1,nnf1-48,TSA439,3,13,16
YDR045C,RPC11,rpc11-5001,TSA1078,3,13,17
