ORF,Name,Allele,Strain ID,Cluster_normal-5
YFL034C-B,MOB2,mob2-36,tsa814-37C,0.14207650273224043
YIR008C,PRI1,pri1-m4,tsa340-37C,0.1415929203539823
YBL041W,PRE7,pre7-5001,tsa1064-37C,0.1414141414141414
YGL136C,MRM2,,dma1690,0.1414141414141414
YNL075W,IMP4,imp4-2,tsa556-37C,0.14136125654450263
YBR126C,TPS1,tps1-supp1,dma298,0.14107883817427386
YPL010W,RET3,ret3-1,tsa689-37C,0.14084507042253522
YBR055C,PRP6,prp6-ts,tsa367-37C,0.1407942238267148
YDR145W,TAF12,taf12-l446a,tsa806-37C,0.14074074074074075
YFL034C-B,MOB2,mob2-26-supp1,tsa787-37C,0.1407035175879397
YOR327C,SNC2,,dma4718,0.1404494382022472
YLR045C,STU2,stu2-11,tsa545-37C,0.13993174061433447
YLR298C,YHC1,yhc1-1,tsa632-37C,0.13962264150943396
YDR062W,LCB2,lcb2-2,tsa575-37C,0.13957307060755336
YNL061W,NOP2,nop2-3,tsa624-37C,0.1393939393939394
YFL008W,SMC1,smc1-259,tsa68-37C,0.13917525773195877
YKL210W,UBA1,uba1-1,tsa191-37C,0.1388888888888889
YPR173C,VPS4,,dma5159,0.1388888888888889
YIL062C,ARC15,arc15-10,tsa888-37C,0.1388888888888889
YKR008W,RSC4,rsc4-2,tsa498-37C,0.1388888888888889
YGR245C,SDA1,sda1-2,tsa523-37C,0.13852813852813853
YMR076C,PDS5,pds5-1,tsa983-37C,0.13846153846153847
YPL252C,YAH1,yah1-ts,tsa428-37C,0.13818181818181818
YLR163C,MAS1,mas1-1,tsa497-37C,0.13793103448275862
YBR198C,TAF5,taf5-3,tsa509-37C,0.13793103448275862
YJR075W,HOC1,,dma2662,0.13740458015267176
YFL039C,ACT1,act1-125,tsa140-37C,0.13725490196078433
YOR244W,ESA1,esa1-d414,tsa563-37C,0.13725490196078433
YMR294W,JNM1,,dma3895,0.136986301369863
YMR239C,RNT1,rnt1-47,tsa674-37C,0.136986301369863
YDL209C,CWC2,cwc2-1,tsa1052-37C,0.13675213675213677
YLR103C,CDC45,cdc45-27,tsa694-37C,0.13664596273291926
YPL260W,,,dma4970,0.13636363636363635
YDL102W,POL3,cdc2-2,tsa135-37C,0.1358695652173913
YLR430W,SEN1,sen1-1,tsa1023-37C,0.13541666666666666
YKR037C,SPC34,spc34-5,tsa839-37C,0.13541666666666666
YMR117C,SPC24,spc24-9,tsa293-37C,0.13513513513513514
YPR161C,SGV1,sgv1-35,tsa1029-37C,0.1350210970464135
YKL193C,SDS22,sds22-6,tsa573-37C,0.13496932515337423
YGL212W,VAM7,,dma1732,0.13496932515337423
YOL139C,CDC33,cdc33-e72g,tsa306-37C,0.1347517730496454
YML105C,SEC65,sec65-1,tsa710-37C,0.13471502590673576
YHR036W,BRL1,brl1-c371s,tsa1042-37C,0.1346153846153846
YKL125W,RRN3,rrn3-s213p,tsa527-37C,0.1345646437994723
YPL228W,CET1,cet1-2,tsa419-37C,0.13438735177865613
YFL008W,SMC1,smc1-2,tsa321-37C,0.1342281879194631
YBR109C,CMD1,cmd1-1,tsa154-37C,0.13368983957219252
YFL034C-B,MOB2,mob2-34,tsa611-37C,0.13333333333333333
YFR004W,RPN11,rpn11-8,tsa521-37C,0.13333333333333333
YLR041W,,,dma3142,0.13286713286713286
YJL188C,BUD19,,dma2578,0.1328125
YGR075C,PRP38,prp38-1,tsa480-37C,0.13271028037383178
YPL020C,ULP1,ulp1-333,tsa566-37C,0.13257575757575757
YJR046W,TAH11,tah11-ts,tsa705-37C,0.13215859030837004
YGR074W,SMD1,smd1-1,tsa748-37C,0.1317365269461078
YJL117W,PHO86,,dma5181,0.13157894736842105
YNL322C,KRE1,,dma4185,0.13157894736842105
YLL003W,SFI1,sfi1-3,tsa475-37C,0.13149847094801223
YLR310C,CDC25,cdc25-2-supp1,tsa29-37C,0.13114754098360656
YPL094C,SEC62,sec62-ts,tsa224-37C,0.13095238095238096
YOR141C,ARP8,,dma4550,0.13090909090909092
YPL043W,NOP4,nop4-3,tsa660-37C,0.1308139534883721
YJR017C,ESS1,ess1-h164r,tsa698-37C,0.13043478260869565
YNL102W,POL1,pol1-13,tsa346-37C,0.1303030303030303
YLR397C,AFG2,afg2-18,tsa266-37C,0.13015873015873017
YGL098W,USE1,use1-ts,tsa592-37C,0.1297709923664122
YFL039C,ACT1,act1-155,tsa220-37C,0.12953367875647667
YGL027C,CWH41,,dma1617,0.12949640287769784
YBL034C,STU1,stu1-8,tsa454-37C,0.12949640287769784
YGL043W,DST1,,dma1631,0.12941176470588237
YKL049C,CSE4,cse4-1,tsa347-37C,0.12921348314606743
YBR011C,IPP1,ipp1-5001,tsa1062-37C,0.1282051282051282
YKL042W,SPC42,spc42-11,tsa449-37C,0.1276595744680851
YLR298C,YHC1,yhc1-8,tsa844-37C,0.12735849056603774
YJL074C,SMC3,smc3-42,tsa71-37C,0.12727272727272726
YHR191C,CTF8,ctf8-9,tsa323-37C,0.12658227848101267
YNL102W,POL1,pol1-2,tsa344-37C,0.12658227848101267
YOR057W,SGT1,sgt1-3,tsa830-37C,0.12653061224489795
YCR090C,,,dma611,0.12643678160919541
YGL007W,BRP1,,dma1585,0.12631578947368421
YPR161C,SGV1,sgv1-80,tsa1028-37C,0.12631578947368421
YJL074C,SMC3,smc3-1,tsa259-37C,0.12626262626262627
YOR070C,GYP1,,dma4499,0.1262135922330097
YBR110W,ALG1,alg1-1,tsa177-37C,0.12612612612612611
YLR212C,TUB4,tub4-d,tsa718-37C,0.12612612612612611
YJR093C,FIP1,fip1-5001,tsa1096-37C,0.12612612612612611
YAL041W,CDC24,cdc24-4,tsa149-37C,0.12571428571428572
YPR175W,DPB2,dpb2-1,tsa349-37C,0.12558139534883722
YDR088C,SLU7,slu7-ts2,tsa657-37C,0.12535612535612536
YEL055C,POL5,pol5-2,tsa594-37C,0.125
YDL108W,KIN28,kin28-ts,tsa109-37C,0.125
YPL161C,BEM4,,dma4906,0.125
YER093C-A,AIM11,,dma1403,0.125
YPL233W,NSL1,nsl1-5,tsa450-37C,0.125
YLR008C,PAM18,pam18-1,tsa501-37C,0.12444444444444444
YDR013W,PSF1,psf1-1,tsa583-37C,0.12371134020618557
YDL102W,POL3,cdc2-7,tsa17-37C,0.12371134020618557
YDR182W,CDC1,cdc1-6,tsa414-37C,0.12371134020618557
YOR358W,HAP5,,dma4744,0.12359550561797752
YNL054W,VAC7,,dma3984,0.12269938650306748
YOR157C,PUP1,pup1-1,tsa268-37C,0.12264150943396226
YDR060W,MAK21,mak21-1,tsa249-37C,0.12264150943396226
YBR121C,GRS1,grs1-5001,tsa1071-37C,0.12254901960784313
YOR259C,RPT4,rpt4-150,tsa260-37C,0.12195121951219512
YIR006C,PAN1,pan1-4,tsa353-37C,0.12195121951219512
YKR036C,CAF4,,dma2963,0.12179487179487179
YOR181W,LAS17,las17-14,tsa230-37C,0.12056737588652482
YFL053W,DAK2,,dma1523,0.12033195020746888
YFR004W,RPN11,rpn11-14,tsa534-37C,0.12025316455696203
YHL033C,RPL8A,,dma2075,0.12021857923497267
YFR005C,SAD1,sad1-1,tsa700-37C,0.12017167381974249
YKR035W-A,DID2,,dma2941,0.12
YOL041C,NOP12,,dma4312,0.11971830985915492
YPL093W,NOG1,nog1-1,tsa329-37C,0.11956521739130435
YHR027C,RPN1,rpn1-821,tsa255-37C,0.11956521739130435
YOL090W,MSH2,,dma4377,0.11926605504587157
YKL006C-A,SFT1,sft1-15,tsa619-37C,0.11926605504587157
YKR081C,RPF2,rpf2-5001,tsa1098-37C,0.11904761904761904
YDL028C,MPS1,mps1-417,tsa169-37C,0.11904761904761904
YLR022C,SDO1,sdo1-vma1-ts,tsa1026-37C,0.1188118811881188
YDL011C,,,dma618,0.11879699248120301
YIL147C,SLN1,sln1-ts4,tsa1001-37C,0.11875
YDR288W,NSE3,nse3-ts3,tsa994-37C,0.11864406779661017
YBR236C,ABD1,abd1-5,tsa75-37C,0.11818181818181818
YGL194C,HOS2,,dma1723,0.11805555555555555
YPL028W,ERG10,erg10-1,tsa531-37C,0.11688311688311688
YKR001C,VPS1,,dma2924,0.11650485436893204
YPR168W,NUT2,nut2-ts,tsa818-37C,0.11627906976744186
YFL034C-B,MOB2,mob2-8,tsa616-37C,0.11627906976744186
YPL211W,NIP7,nip7-1,tsa114-37C,0.11616161616161616
YDL028C,MPS1,mps1-1,tsa166-37C,0.11612903225806452
YOL135C,MED7,med7-141,tsa740-37C,0.11585365853658537
YDR437W,GPI19,gpi19-2xh,tsa1012-37C,0.11552346570397112
YPL266W,DIM1,dim1-2,tsa96-37C,0.11546840958605664
YAL041W,CDC24,cdc24-3,tsa412-37C,0.11538461538461539
YDR145W,TAF12,taf12-w486stop,tsa515-37C,0.11469534050179211
YGR158C,MTR3,mtr3-ts,tsa614-37C,0.1144578313253012
YJL104W,PAM16,pam16-3,tsa499-37C,0.1144578313253012
YBR058C-A,TSC3,tsc3-2,tsa571-37C,0.11442006269592477
